Species;SRA;Taxon;Taxonomy
Alligator_mississippiensis;['SRR10331611', 'SRR10331612'];Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-551734-174365-174366-551771
Alligator_sinensis;SRR10331599;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-551734-174365-174366-202209
Aquila_chrysaetos;['SRR8616932', 'SRR8616933'];Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175406-175407
Casuarius_casuarius;SRR10331605;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-174382-174386-174387-553788
Chiloscyllium_punctatum;SRR13364271;Chondrichthes;Species:202423-914154-914156-158852-331030-914179-914180-159785-159786-563987-551499-159929-159940-159952
Dromaius_novaehollandiae;SRR10331600;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-174382-174383-174384-174385
Eopsaltria_australis_coastal_lineage;SRR16086826;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-178265-557363-557656-559923
Eopsaltria_australis_inland_lineage;SRR20245414;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-178265-557363-557656-559923
Gymnogyps_californianus__gc_Illumina;SRR11097122;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-823961-175263-175273-175274
Intellagama_lesueurii_lesueurii;SRR16086815;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-173861-564529-209037-1055387-1055414-1056671
Lamprotornis_superbus;SRR16970335;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-178265-179635-557805-560690
Pantherophis_guttatus;SRR17854501;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-173861-174118-634390-174121-174174-174175
Phalacrocorax_auritus;SRR10331575;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-823960-174713-174714-174717
Pogona_vitticeps;SRR20245434;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-173861-564529-209037-1055384-1055443-1056855
Python_bivittatus;SRR8616890;Reptilia;Subspecies:202423-914154-914156-158852-331030-914179-914181-173747-173861-174118-634390-563893-202186-202187-683069
Rhea_americana;SRR10331563;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-174376-174377-174378-174379
Salvator_merianae;SRR8616872;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-173861-564530-174012-Salvator-Salvatormerianae
Salvator_merianae;SRR8616872;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-173861-564530-174012-Salvator-Salvatormerianae
Salvator_merianae__HLtupMer6;SRR8616872;Reptilia;Species:202423-914154-914156-158852-331030-914179-914181-173747-173861-564530-174012-Salvator-Salvatormerianae
Strix_occidentalis;SRR11097181;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-177848-177854-686633-177920-177925
Struthio_camelus;SRR10331561;Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-174372-174373-174374-174375
Thunnus_albacares;SRR16086842;Teleostei;Species:202423-914154-914156-158852-331030-914179-161061-161105-166082-167640-172353-172398-638248-638252-172418-613008-172423
Tympanuchus_cupido;['SRR8616843', 'SRR8616844', 'SRR8616845'];Aves;Species:202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-553485-175833-175834
